file_name,image_id,source_prefix,expected_class,expected_species,cnn_species,cnn_confidence,predicted_class,predicted_species,valid_case,visual_support,needs_review,activated_rules,is_class_correct,is_species_correct
aedes_albopictus_img_000280_prediction.json,aedes_albopictus_img_000280,aedes_albopictus,mosquito,asian_tiger_mosquito,asian_tiger_mosquito,0.9804,mosquito,asian_tiger_mosquito,1,1,0,valid_case;visual_support;signature_mosquito;final_class:mosquito;final_species:asian_tiger_mosquito,1,1
aedes_albopictus_img_000289_prediction.json,aedes_albopictus_img_000289,aedes_albopictus,mosquito,asian_tiger_mosquito,asian_tiger_mosquito,0.8178,mosquito,asian_tiger_mosquito,1,1,0,valid_case;visual_support;signature_mosquito;final_class:mosquito;final_species:asian_tiger_mosquito,1,1
aedes_albopictus_img_000293_prediction.json,aedes_albopictus_img_000293,aedes_albopictus,mosquito,asian_tiger_mosquito,asian_tiger_mosquito,0.4347,review,unknown,0,1,1,visual_support;needs_review,0,0
aedes_albopictus_img_000302_prediction.json,aedes_albopictus_img_000302,aedes_albopictus,mosquito,asian_tiger_mosquito,asian_tiger_mosquito,0.9711,mosquito,asian_tiger_mosquito,1,1,0,valid_case;visual_support;signature_mosquito;final_class:mosquito;final_species:asian_tiger_mosquito,1,1
aedes_albopictus_img_000304_prediction.json,aedes_albopictus_img_000304,aedes_albopictus,mosquito,asian_tiger_mosquito,asian_tiger_mosquito,0.9428,mosquito,asian_tiger_mosquito,1,1,0,valid_case;visual_support;signature_mosquito;final_class:mosquito;final_species:asian_tiger_mosquito,1,1
aedes_albopictus_img_000317_prediction.json,aedes_albopictus_img_000317,aedes_albopictus,mosquito,asian_tiger_mosquito,asian_tiger_mosquito,0.9752,mosquito,asian_tiger_mosquito,1,1,0,valid_case;visual_support;signature_mosquito;final_class:mosquito;final_species:asian_tiger_mosquito,1,1
apis_mellifera_img_000123_prediction.json,apis_mellifera_img_000123,apis_mellifera,bee,honey_bee,honey_bee,0.8306,bee,honey_bee,1,1,0,valid_case;visual_support;signature_bee;final_class:bee;final_species:honey_bee,1,1
apis_mellifera_img_000128_prediction.json,apis_mellifera_img_000128,apis_mellifera,bee,honey_bee,honey_bee,0.9166,bee,honey_bee,1,1,0,valid_case;visual_support;signature_bee;final_class:bee;final_species:honey_bee,1,1
apis_mellifera_img_000129_prediction.json,apis_mellifera_img_000129,apis_mellifera,bee,honey_bee,honey_bee,0.9815,bee,honey_bee,1,1,0,valid_case;visual_support;signature_bee;final_class:bee;final_species:honey_bee,1,1
apis_mellifera_img_000144_prediction.json,apis_mellifera_img_000144,apis_mellifera,bee,honey_bee,honey_bee,0.9355,bee,honey_bee,1,1,0,valid_case;visual_support;signature_bee;final_class:bee;final_species:honey_bee,1,1
apis_mellifera_img_000158_prediction.json,apis_mellifera_img_000158,apis_mellifera,bee,honey_bee,honey_bee,0.9259,bee,honey_bee,1,1,0,valid_case;visual_support;signature_bee;final_class:bee;final_species:honey_bee,1,1
apis_mellifera_img_000163_prediction.json,apis_mellifera_img_000163,apis_mellifera,bee,honey_bee,honey_bee,0.9893,bee,honey_bee,1,1,0,valid_case;visual_support;signature_bee;final_class:bee;final_species:honey_bee,1,1
coccinella_septempunctata_img_000012_prediction.json,coccinella_septempunctata_img_000012,coccinella_septempunctata,lady_beetle,sevenspotted_lady_beetle,sevenspotted_lady_beetle,0.9183,lady_beetle,sevenspotted_lady_beetle,1,1,0,valid_case;visual_support;signature_lady_beetle;final_class:lady_beetle;final_species:sevenspotted_lady_beetle,1,1
coccinella_septempunctata_img_000021_prediction.json,coccinella_septempunctata_img_000021,coccinella_septempunctata,lady_beetle,sevenspotted_lady_beetle,sevenspotted_lady_beetle,0.8816,lady_beetle,sevenspotted_lady_beetle,1,1,0,valid_case;visual_support;signature_lady_beetle;final_class:lady_beetle;final_species:sevenspotted_lady_beetle,1,1
coccinella_septempunctata_img_000038_prediction.json,coccinella_septempunctata_img_000038,coccinella_septempunctata,lady_beetle,sevenspotted_lady_beetle,sevenspotted_lady_beetle,0.9747,lady_beetle,sevenspotted_lady_beetle,1,1,0,valid_case;visual_support;signature_lady_beetle;final_class:lady_beetle;final_species:sevenspotted_lady_beetle,1,1
coccinella_septempunctata_img_000039_prediction.json,coccinella_septempunctata_img_000039,coccinella_septempunctata,lady_beetle,sevenspotted_lady_beetle,sevenspotted_lady_beetle,0.8464,lady_beetle,sevenspotted_lady_beetle,1,1,0,valid_case;visual_support;signature_lady_beetle;final_class:lady_beetle;final_species:sevenspotted_lady_beetle,1,1
coccinella_septempunctata_img_000046_prediction.json,coccinella_septempunctata_img_000046,coccinella_septempunctata,lady_beetle,sevenspotted_lady_beetle,sevenspotted_lady_beetle,0.7837,review,unknown,1,0,1,valid_case;signature_lady_beetle;needs_review,0,0
danaus_plexippus_img_000084_prediction.json,danaus_plexippus_img_000084,danaus_plexippus,butterfly,monarch_butterfly,monarch_butterfly,0.9186,butterfly,monarch_butterfly,1,1,0,valid_case;visual_support;signature_butterfly;final_class:butterfly;final_species:monarch_butterfly,1,1
danaus_plexippus_img_000085_prediction.json,danaus_plexippus_img_000085,danaus_plexippus,butterfly,monarch_butterfly,monarch_butterfly,0.9801,butterfly,monarch_butterfly,1,1,0,valid_case;visual_support;signature_butterfly;final_class:butterfly;final_species:monarch_butterfly,1,1
danaus_plexippus_img_000093_prediction.json,danaus_plexippus_img_000093,danaus_plexippus,butterfly,monarch_butterfly,monarch_butterfly,0.9333,butterfly,monarch_butterfly,1,1,0,valid_case;visual_support;signature_butterfly;final_class:butterfly;final_species:monarch_butterfly,1,1
danaus_plexippus_img_000102_prediction.json,danaus_plexippus_img_000102,danaus_plexippus,butterfly,monarch_butterfly,monarch_butterfly,0.9780,butterfly,monarch_butterfly,1,1,0,valid_case;visual_support;signature_butterfly;final_class:butterfly;final_species:monarch_butterfly,1,1
danaus_plexippus_img_000107_prediction.json,danaus_plexippus_img_000107,danaus_plexippus,butterfly,monarch_butterfly,monarch_butterfly,0.9277,butterfly,monarch_butterfly,1,1,0,valid_case;visual_support;signature_butterfly;final_class:butterfly;final_species:monarch_butterfly,1,1
dissosteira_carolina_img_000223_prediction.json,dissosteira_carolina_img_000223,dissosteira_carolina,grasshopper,carolina_grasshopper,carolina_grasshopper,0.9238,grasshopper,carolina_grasshopper,1,1,0,valid_case;visual_support;signature_grasshopper;final_class:grasshopper;final_species:carolina_grasshopper,1,1
dissosteira_carolina_img_000226_prediction.json,dissosteira_carolina_img_000226,dissosteira_carolina,grasshopper,carolina_grasshopper,carolina_grasshopper,0.7807,grasshopper,carolina_grasshopper,1,1,0,valid_case;visual_support;signature_grasshopper;final_class:grasshopper;final_species:carolina_grasshopper,1,1
dissosteira_carolina_img_000230_prediction.json,dissosteira_carolina_img_000230,dissosteira_carolina,grasshopper,carolina_grasshopper,carolina_grasshopper,0.9750,grasshopper,carolina_grasshopper,1,1,0,valid_case;visual_support;signature_grasshopper;final_class:grasshopper;final_species:carolina_grasshopper,1,1
dissosteira_carolina_img_000240_prediction.json,dissosteira_carolina_img_000240,dissosteira_carolina,grasshopper,carolina_grasshopper,carolina_grasshopper,0.9688,grasshopper,carolina_grasshopper,1,1,0,valid_case;visual_support;signature_grasshopper;final_class:grasshopper;final_species:carolina_grasshopper,1,1
dissosteira_carolina_img_000241_prediction.json,dissosteira_carolina_img_000241,dissosteira_carolina,grasshopper,carolina_grasshopper,carolina_grasshopper,0.9234,grasshopper,carolina_grasshopper,1,1,0,valid_case;visual_support;signature_grasshopper;final_class:grasshopper;final_species:carolina_grasshopper,1,1
dissosteira_carolina_img_000256_prediction.json,dissosteira_carolina_img_000256,dissosteira_carolina,grasshopper,carolina_grasshopper,carolina_grasshopper,0.9590,grasshopper,carolina_grasshopper,1,1,0,valid_case;visual_support;signature_grasshopper;final_class:grasshopper;final_species:carolina_grasshopper,1,1
